,Title,Year,Authors,Journal,Journal Acronym,Rank
0,3D Class A Bézier curves with monotone curvature.,2023,"Aizeng Wang, Chuan He, Jianmin Zheng, Gang Zhao",Comput. Aided Des. 159: 103501 ,CAD,Unranked
1,Self-Parameterization Based Multi-Resolution Mesh Convolution Networks.,2023,"Hezi Shi, Luo Jiang, Jianmin Zheng, Jun Zeng",Comput. Aided Des. 162: 103550 ,CAD,Unranked
2,Guest Editorial: Proceedings of SPM 2023 Symposium.,2023,"Lucia Romani, Jianmin Zheng, Morad Behandish",Comput. Aided Des. 164: 103596 ,CAD,Unranked
3,Generative Multiform Bayesian Optimization.,2023,"Zhendong Guo, Haitao Liu, Yew-Soon Ong, Xinghua Qu, Yuzhe Zhang, Jianmin Zheng",IEEE Trans. Cybern. 53: 4347-4360 ,TCYB,Unranked
4,ESO-Based Model-Free Adaptive Iterative Learning Energy-Efficient Control for Subway Train With Disturbances and Over-Speed Protection.,2023,"Jianmin Zheng, Zhongsheng Hou",IEEE Trans. Intell. Transp. Syst. 24: 8136-8148 ,TITS,Unranked
5,Multi-objective Anti-swing Trajectory Planning of Double-pendulum Tower Crane Operations using Opposition-based Evolutionary Algorithm.,2023,"Souravik Dutta, Yiyu Cai, Jianmin Zheng",CoRR abs/2305.18745 ,CORR,Unranked
6,ObjectSDF++: Improved Object-Compositional Neural Implicit Surfaces.,2023,"Qianyi Wu, Kaisiyuan Wang, Kejie Li, Jianmin Zheng, Jianfei Cai",CoRR abs/2308.07868 ,CORR,Unranked
7,Seamless simplification of multi-chart textured meshes with adaptively updated correspondence.,2022,"Wenjing Zhang, Jianmin Zheng, Yiyu Cai, Anders Ynnerman",Comput. Graph. 106: 77-87 ,CG,Unranked
8,Constructing self-supporting surfaces with planar quadrilateral elements.,2022,"Long Ma, Sidan Yao, Jianmin Zheng, Yang Liu, Yuanfeng Zhou, Shi-Qing Xin, Ying He",Comput. Vis. Media 8: 571-583 ,CVM,Unranked
9,Engagement estimation of the elderly from wild multiparty human-robot interaction.,2022,"Zhijie Zhang, Jianmin Zheng, Nadia Magnenat-Thalmann",Comput. Animat. Virtual Worlds 33 ,JVCA,Unranked
10,GeoConv: Geodesic guided convolution for facial action unit recognition.,2022,"Yuedong Chen, Guoxian Song, Zhiwen Shao, Jianfei Cai, Tat-Jen Cham, Jianmin Zheng",Pattern Recognit. 122: 108355 ,PR,Unranked
11,Facial Expression Retargeting From Human to Avatar Made Easy.,2022,"Juyong Zhang, Keyu Chen, Jianmin Zheng",IEEE Trans. Vis. Comput. Graph. 28: 1274-1287 ,TVCG,Unranked
