,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Off-Beat Multi-Agent Reinforcement Learning.,2023,"Wei Qiu, Weixun Wang, Rundong Wang, Bo An, Yujing Hu, Svetlana Obraztsova, Zinovi Rabinovich, Jianye Hao, Yingfeng Chen, Changjie Fan",AAMAS 2023: 2424-2426,ATAL,Unranked
1,Poisoning the Well: Can We Simultaneously Attack a Group of Learning Agents?,2023,"Ridhima Bector, Hang Xu, Abhay Aradhya, Chai Quek, Zinovi Rabinovich",IJCAI 2023: 3470-3478,IJCAI,A*
2,Towards Skilled Population Curriculum for Multi-Agent Reinforcement Learning.,2023,"Rundong Wang, Longtao Zheng, Wei Qiu, Bowei He, Bo An, Zinovi Rabinovich, Yujing Hu, Yingfeng Chen, Tangjie Lv, Changjie Fan",CoRR abs/2302.03429 ,CORR,Unranked
3,Policy Resilience to Environment Poisoning Attacks on Reinforcement Learning.,2023,"Hang Xu, Xinghua Qu, Zinovi Rabinovich",CoRR abs/2304.12151 ,CORR,Unranked
4,Spiking Pitch Black: Poisoning an Unknown Environment to Attack Unknown Reinforcement Learners.,2022,"Hang Xu, Xinghua Qu, Zinovi Rabinovich",AAMAS 2022: 1409-1417,ATAL,Unranked
5,Mis-spoke or mis-lead: Achieving Robustness in Multi-Agent Communicative Reinforcement Learning.,2022,"Wanqi Xue, Wei Qiu, Bo An, Zinovi Rabinovich, Svetlana Obraztsova, Chai Kiat Yeo",AAMAS 2022: 1418-1426,ATAL,Unranked
6,Reaching Consensus Under a Deadline.,2022,"Marina Bannikova, Lihi Dery, Svetlana Obraztsova, Zinovi Rabinovich, Jeffrey S. Rosenschein",AAMAS 2022: 1920-1922,ATAL,Unranked
7,Off-Beat Multi-Agent Reinforcement Learning.,2022,"Wei Qiu, Weixun Wang, Rundong Wang, Bo An, Yujing Hu, Svetlana Obraztsova, Zinovi Rabinovich, Jianye Hao, Yingfeng Chen, Changjie Fan",CoRR abs/2205.13718 ,CORR,Unranked
8,Reaching consensus under a deadline.,2021,"Marina Bannikova, Lihi Dery, Svetlana Obraztsova, Zinovi Rabinovich, Jeffrey S. Rosenschein",Auton. Agents Multi Agent Syst. 35: 9 ,AAMAS,A*
9,Protecting elections by recounting ballots.,2021,"Edith Elkind, Jiarui Gan, Svetlana Obraztsova, Zinovi Rabinovich, Alexandros A. Voudouris",Artif. Intell. 290: 103401 ,AI,Australasian B
10,Transferable Environment Poisoning: Training-time Attack on Reinforcement Learning.,2021,"Hang Xu, Rundong Wang, Lev Raizman, Zinovi Rabinovich",AAMAS 2021: 1398-1406,ATAL,Unranked
11,RMIX: Learning Risk-Sensitive Policies for Cooperative Reinforcement Learning Agents.,2021,"Wei Qiu, Xinrun Wang, Runsheng Yu, Rundong Wang, Xu He, Bo An, Svetlana Obraztsova, Zinovi Rabinovich",NeurIPS 2021: 23049-23062,NIPS,Unranked
12,RMIX: Learning Risk-Sensitive Policies for Cooperative Reinforcement Learning Agents.,2021,"Wei Qiu, Xinrun Wang, Runsheng Yu, Xu He, Rundong Wang, Bo An, Svetlana Obraztsova, Zinovi Rabinovich",CoRR abs/2102.08159 ,CORR,Unranked
13,Mis-spoke or mis-lead: Achieving Robustness in Multi-Agent Communicative Reinforcement Learning.,2021,"Wanqi Xue, Wei Qiu, Bo An, Zinovi Rabinovich, Svetlana Obraztsova, Chai Kiat Yeo",CoRR abs/2108.03803 ,CORR,Unranked
14,New Algorithms for Continuous Distributed Constraint Optimization Problems.,2020,"Khoi D. Hoang, William Yeoh, Makoto Yokoo, Zinovi Rabinovich",AAMAS 2020: 502-510,ATAL,Unranked
15,Learning Efficient Multi-agent Communication: An Information Bottleneck Approach.,2020,"Rundong Wang, Xu He, Runsheng Yu, Wei Qiu, Bo An, Zinovi Rabinovich",ICML 2020: 9908-9918,ICML,A*
16,I²HRL: Interactive Influence-based Hierarchical Reinforcement Learning.,2020,"Rundong Wang, Runsheng Yu, Bo An, Zinovi Rabinovich",IJCAI 2020: 3131-3138,IJCAI,A*
17,Manipulating Elections by Selecting Issues.,2019,"Jasper Lu, David Kai Zhang, Zinovi Rabinovich, Svetlana Obraztsova, Yevgeniy Vorobeychik",AAMAS 2019: 529-537,ATAL,Unranked
18,Imitative Follower Deception in Stackelberg Games.,2019,"Jiarui Gan, Haifeng Xu, Qingyu Guo, Long Tran-Thanh, Zinovi Rabinovich, Michael J. Wooldridge",EC 2019: 639-657,SIGECOM,Unranked
19,Protecting Elections by Recounting Ballots.,2019,"Edith Elkind, Jiarui Gan, Svetlana Obraztsova, Zinovi Rabinovich, Alexandros A. Voudouris",IJCAI 2019: 259-265,IJCAI,A*
20,Imitative Follower Deception in Stackelberg Games.,2019,"Jiarui Gan, Haifeng Xu, Qingyu Guo, Long Tran-Thanh, Zinovi Rabinovich, Michael J. Wooldridge",CoRR abs/1903.02917 ,CORR,Unranked
21,Lie on the Fly: Strategic Voting in an Iterative Preference Elicitation Process.,2019,"Lihi Dery, Svetlana Obraztsova, Zinovi Rabinovich, Meir Kalech",CoRR abs/1905.04933 ,CORR,Unranked
22,Between Discord and Deadlock: Consensus Under a Deadline.,2019,"Marina Bannikova, Lihi Dery, Svetlana Obraztsova, Zinovi Rabinovich, Jeffrey S. Rosenschein",CoRR abs/1905.07173 ,CORR,Unranked
23,New Algorithms for Functional Distributed Constraint Optimization Problems.,2019,"Khoi D. Hoang, William Yeoh, Makoto Yokoo, Zinovi Rabinovich",CoRR abs/1905.13275 ,CORR,Unranked
24,Protecting Elections by Recounting Ballots.,2019,"Edith Elkind, Jiarui Gan, Svetlana Obraztsova, Zinovi Rabinovich, Alexandros A. Voudouris",CoRR abs/1906.07071 ,CORR,Unranked
25,Learning Efficient Multi-agent Communication: An Information Bottleneck Approach.,2019,"Rundong Wang, Xu He, Runsheng Yu, Wei Qiu, Bo An, Zinovi Rabinovich",CoRR abs/1911.06992 ,CORR,Unranked
26,Manipulating Elections by Selecting Issues.,2019,"Jasper Lu, David Kai Zhang, Zinovi Rabinovich, Svetlana Obraztsova, Yevgeniy Vorobeychik",CoRR abs/1911.12472 ,CORR,Unranked
27,Real Candidacy Games: A New Model for Strategic Candidacy.,2017,"Itay Sabato, Svetlana Obraztsova, Zinovi Rabinovich, Jeffrey S. Rosenschein",AAMAS 2017: 867-875,ATAL,Unranked
28,Doodle Poll Games.,2017,"Svetlana Obraztsova, Maria Polukarov, Zinovi Rabinovich, Edith Elkind",AAMAS 2017: 876-884,ATAL,Unranked
29,Distant Truth: Bias Under Vote Distortion Costs.,2017,"Svetlana Obraztsova, Omer Lev, Evangelos Markakis, Zinovi Rabinovich, Jeffrey S. Rosenschein",AAMAS 2017: 885-892,ATAL,Unranked
30,Haste makes waste: a case to favour voting bots.,2017,"David Ben Yosef, Lihi Naamani Dery, Svetlana Obraztsova, Zinovi Rabinovich, Marina Bannikova",WI 2017: 419-425,WEBI,Unranked
31,Trembling Hand Equilibria of Plurality Voting.,2016,"Svetlana Obraztsova, Zinovi Rabinovich, Edith Elkind, Maria Polukarov, Nicholas R. Jennings",IJCAI 2016: 440-446,IJCAI,A*
32,On the Convergence of Iterative Voting: How Restrictive Should Restricted Dynamics Be?,2015,"Svetlana Obraztsova, Evangelos Markakis, Maria Polukarov, Zinovi Rabinovich, Nicholas R. Jennings",AAAI 2015: 993-999,AAAI,A*
33,Analysis of Equilibria in Iterative Voting Schemes.,2015,"Zinovi Rabinovich, Svetlana Obraztsova, Omer Lev, Evangelos Markakis, Jeffrey S. Rosenschein",AAAI 2015: 1007-1013,AAAI,A*
34,Exploring Information Asymmetry in Two-Stage Security Games.,2015,"Haifeng Xu, Zinovi Rabinovich, Shaddin Dughmi, Milind Tambe",AAAI 2015: 1057-1063,AAAI,A*
35,Beyond Plurality: Truth-Bias in Binary Scoring Rules.,2015,"Svetlana Obraztsova, Omer Lev, Evangelos Markakis, Zinovi Rabinovich, Jeffrey S. Rosenschein",ADT 2015: 451-468,ALDT,Unranked
36,Information Disclosure as a Means to Security.,2015,"Zinovi Rabinovich, Albert Xin Jiang, Manish Jain, Haifeng Xu",AAMAS 2015: 645-653,ATAL,Unranked
37,Beyond Plurality: Truth-Bias in Binary Scoring Rules.,2015,"Svetlana Obraztsova, Omer Lev, Evangelos Markakis, Zinovi Rabinovich, Jeffrey S. Rosenschein",AAMAS 2015: 1733-1734,ATAL,Unranked
38,Strategic Candidacy Games with Lazy Candidates.,2015,"Svetlana Obraztsova, Edith Elkind, Maria Polukarov, Zinovi Rabinovich",IJCAI 2015: 610-616,IJCAI,A*
39,Convergence to Equilibria in Strategic Candidacy.,2015,"Maria Polukarov, Svetlana Obraztsova, Zinovi Rabinovich, Alexander Kruglyi, Nicholas R. Jennings",IJCAI 2015: 624-630,IJCAI,A*
40,Security Games with Information Leakage: Modeling and Computation.,2015,"Haifeng Xu, Albert Xin Jiang, Arunesh Sinha, Zinovi Rabinovich, Shaddin Dughmi, Milind Tambe",IJCAI 2015: 674-680,IJCAI,A*
41,Lie on the Fly: Iterative Voting Center with Manipulative Voters.,2015,"Lihi Naamani Dery, Svetlana Obraztsova, Zinovi Rabinovich, Meir Kalech",IJCAI 2015: 2033-2039,IJCAI,A*
42,Security Games With Information Leakage: Modeling and Computation.,2015,"Haifeng Xu, Albert Xin Jiang, Arunesh Sinha, Zinovi Rabinovich, Shaddin Dughmi, Milind Tambe",CoRR abs/1504.06058 ,CORR,Unranked
43,Strategic Information Disclosure to People with Multiple Alternatives.,2014,"Amos Azaria, Zinovi Rabinovich, Claudia V. Goldman, Sarit Kraus",ACM Trans. Intell. Syst. Technol. 5: 64:1-64:21 ,TIST,Unranked
44,Faustian Dynamics in Sarkar's Social Cycle.,2014,"Svetlana Obraztsova, Zinovi Rabinovich, Alexandra Madunts",ECAI 2014: 1071-1072,ECAI,A
45,Computing pure Bayesian-Nash equilibria in games with finite actions and continuous types.,2013,"Zinovi Rabinovich, Victor Naroditskiy, Enrico H. Gerding, Nicholas R. Jennings",Artif. Intell. 195: 106-139 ,AI,Australasian B
46,Ishikawa play.,2013,"Yoad Lewenberg, Zinovi Rabinovich, Jeffrey S. Rosenschein",AAMAS 2013: 627-634,ATAL,Unranked
47,Strategic Advice Provision in Repeated Human-Agent Interactions.,2012,"Amos Azaria, Zinovi Rabinovich, Sarit Kraus, Claudia V. Goldman, Ya'akov Gal",AAAI 2012: 1522-1528,AAAI,A*
48,Strategic Advice Provision in Repeated Human-Agent Interactions (Abstract).,2012,"Amos Azaria, Zinovi Rabinovich, Sarit Kraus, Claudia V. Goldman, Ya'akov Gal",AAAI 2012: 2411-2412,AAAI,A*
49,Giving advice to people in path selection problems.,2012,"Amos Azaria, Zinovi Rabinovich, Sarit Kraus, Claudia V. Goldman, Omer Tsimhoni",AAMAS 2012: 459-466,ATAL,Unranked
50,Strategic Information Disclosure to People with Multiple Alternatives.,2011,"Amos Azaria, Zinovi Rabinovich, Sarit Kraus, Claudia V. Goldman",AAAI 2011: 594-600,AAAI,A*
51,Giving Advice to People in Path Selection Problems.,2011,"Amos Azaria, Zinovi Rabinovich, Sarit Kraus, Claudia V. Goldman",Interactive Decision Theory and Game Theory 2011,AAAI,A*
52,A hybrid controller based on the egocentric perceptual principle.,2010,"Zinovi Rabinovich, Nicholas R. Jennings",Robotics Auton. Syst. 58: 1039-1048 ,RAS,Unranked
53,Cultivating desired behaviour: policy teaching via environment-dynamics tweaks.,2010,"Zinovi Rabinovich, Lachlan Dufton, Kate Larson, Nicholas R. Jennings",AAMAS 2010: 1097-1104,ATAL,Unranked
54,Generalised Fictitious Play for a Continuum of Anonymous Players.,2009,"Zinovi Rabinovich, Enrico H. Gerding, Maria Polukarov, Nicholas R. Jennings",IJCAI 2009: 245-250,IJCAI,A*
55,Coordination and Multi-Tasking Using EMT.,2008,"Zinovi Rabinovich, Nir Pochter, Jeffrey S. Rosenschein",AAAI 2008: 144-149,AAAI,A*
56,Dynamics based control with PSRs.,2008,"Ariel Adam, Zinovi Rabinovich, Jeffrey S. Rosenschein",AAMAS  2008: 387-394,ATAL,Unranked
57,Approximating mixed Nash equilibria using smooth fictitious play in simultaneous auctions.,2008,"Enrico H. Gerding, Zinovi Rabinovich, Andrew Byde, Edith Elkind, Nicholas R. Jennings",AAMAS  2008: 1577-1580,ATAL,Unranked
58,Dynamics based control and continual planning (בקרה ותכנון רצוף מבוססי דינאמיקת מערכת.).,2007,Zinovi Rabinovich,"Hebrew University of Jerusalem, Israel, 2007",NAN,Unranked
59,Dynamics based control with an application to area-sweeping problems.,2007,"Zinovi Rabinovich, Jeffrey S. Rosenschein, Gal A. Kaminka",AAMAS 2007: 121,ATAL,Unranked
60,Behaviosites: Manipulation of Multiagent System Behavior through Parasitic Infection.,2006,"Amit Shabtay, Zinovi Rabinovich, Jeffrey S. Rosenschein",AAAI 2006: 709-715,AAAI,A*
61,On the response of EMT-based control to interacting targets and models.,2006,"Zinovi Rabinovich, Jeffrey S. Rosenschein",AAMAS 2006: 465-470,ATAL,Unranked
62,Behaviosites: a novel paradigm for affecting distributed behavior.,2006,"Amit Shabtay, Zinovi Rabinovich, Jeffrey S. Rosenschein",AAMAS 2006: 679-681,ATAL,Unranked
63,Behaviosites: A Novel Paradigm for Affecting Distributed Behavior.,2006,"Amit Shabtay, Zinovi Rabinovich, Jeffrey S. Rosenschein",ESOA 2006: 82-98,ESOA,Unranked
64,Multiagent coordination by Extended Markov Tracking.,2005,"Zinovi Rabinovich, Jeffrey S. Rosenschein",AAMAS 2005: 431-438,ATAL,Unranked
65,Dynamics Based Control: An Introduction.,2005,"Zinovi Rabinovich, Jeffrey S. Rosenschein",EUMAS 2005: 323-331,EUMAS,C
66,Simulation of Cooperative Behavioral Trends by Local Interaction Rules.,2005,"Osnat Shapira, Zinovi Rabinovich, Jeffrey S. Rosenschein",EUMAS 2005: 387-396,EUMAS,C
67,The complexity of multiagent systems: the price of silence.,2003,"Zinovi Rabinovich, Claudia V. Goldman, Jeffrey S. Rosenschein",AAMAS 2003: 1102-1103,ATAL,Unranked
